Employee_ID,Employee_Name,Department,Content_Type,Local_Context,Adaptation_Method,Content_Relevance_Rating
9fadd42e-47f2-4181-9c5d-f40626e0b1a1,Philip Cowan,Adaptation,Video,Online Platform,Customization,3.557707193831535
ec05d8b5-72f7-42cd-8140-a0d0dba43fae,Regina Spears,Research,Text,Online Platform,Localization,1.1000430208906677
469435ee-24ad-4155-bfb6-686ba1859050,Valerie Brooks,Adaptation,Text,Online Platform,Customization,2.100117273476477
700fdac6-8625-4ed0-9c39-667ea6a4cfb8,Nathan Baker,Content Creation,Text,Online Platform,Modification,1.892842952595291
d861489c-c98a-4bf1-8f8e-24618869443e,Rebecca Ellis,Research,Video,Online Platform,Modification,3.9458848566560496
029744a4-4f30-4d8a-88ef-864261ce5440,Joseph White,Adaptation,Interactive,School,Customization,3.706797949691645
ed4a4bda-fc84-4a25-b8ba-413062c4e086,David Watkins,Content Creation,Text,School,Localization,4.568718270819382
f2ec224e-77fe-42cc-9e3f-afef6fea5624,Dana Simmons,Adaptation,Interactive,School,Localization,1.3477553305176646
e2f1506c-291d-46e8-96a5-1dc007936126,Jonathon Bowman,Research,Video,School,Localization,2.6876872787410817
d0556851-ef18-4a48-93b7-31f33b4c673d,Dominic Andrews,Content Creation,Text,School,Customization,1.1191888777522814
6a37df69-f2aa-447f-82a0-254e3cc60390,Travis Roberts,Content Creation,Video,School,Customization,1.8745518992144135
78019b69-4213-420d-9744-1b5f7ebf3231,Michelle Ramsey,Research,Text,School,Customization,3.0214211524134496
d8ae9ee0-a308-4721-ad60-d3b12e31d34d,Christopher Cook,Research,Text,Online Platform,Modification,1.1061438787354545
71f92463-75f0-4a79-a4f9-1a94f7a266da,Veronica Ramirez,Content Creation,Video,Online Platform,Customization,1.795350602746594
bb63e94b-dfcc-4982-968b-0168bffe7605,Linda Quinn,Adaptation,Video,School,Localization,3.599537751118093
bd9d0e4f-8e1d-4835-8f0f-8e946f237be7,Wesley Harris,Adaptation,Text,School,Localization,3.1797659224128667
dbd8ff6b-3501-42fb-9372-7040cd3a227f,Mr. Eric Davies,Research,Video,School,Customization,1.8817624881627868
ccd4cbff-ea8b-4692-8414-a452d944e77a,Russell Nelson,Adaptation,Interactive,Online Platform,Customization,3.357062735503635
cfdeb912-a7e3-4322-a7de-f760ee9ddfff,Desiree Kelly,Adaptation,Text,Online Platform,Customization,4.237721826711306
bddc4a43-71e2-4b76-a17e-0eb594b53dae,Marcus Swanson,Research,Video,Library,Modification,1.025995038712244
f9f20f1e-ff18-44b0-9034-c21d3e57e046,Tricia Meyers,Content Creation,Interactive,School,Customization,4.223277007331232
9733f630-6f51-40ac-9ec1-c10391a688c0,Kimberly Romero,Adaptation,Interactive,Library,Localization,3.7925575799529074
974a026b-b770-481c-bce8-a51e04f21ea4,Rebecca Cole,Adaptation,Interactive,School,Modification,2.3610020660719675
30d2cbac-95f2-4f02-957c-1950fd252470,Debra Russell,Content Creation,Video,School,Modification,1.6219179992471262
27bbcfe1-3327-477e-927a-371f62ab719d,Kimberly Lawson,Research,Video,Library,Localization,4.828852288827125
43316824-a0d0-436b-869a-8253a0163742,Christian Brady,Adaptation,Video,Library,Localization,2.346378180450507
ad47e22f-b5b9-420f-9ccd-57fbd7077627,Sandra Buckley,Adaptation,Video,School,Customization,1.3709833735205916
8d4b7dac-3471-425e-b561-d6875a68c26f,Chase Roth,Adaptation,Text,Online Platform,Modification,1.386865507333856
0025b11f-e6ae-42e0-8d51-33f25fbe7cad,Mr. Miguel Williams MD,Research,Interactive,Online Platform,Customization,4.389977465389839
